epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
57,8594.13,1.48231,0.94807,1.35776,0.73238,0.69862,0.7442,0.37742,1.7718,1.13885,1.76791,0.000742815,0.000742815,0.000742815
58,8729.91,1.47983,0.96366,1.35619,0.74605,0.66124,0.73129,0.36741,1.78072,1.13641,1.7889,0.000726312,0.000726312,0.000726312
59,8865.68,1.47187,0.93201,1.34867,0.70373,0.66021,0.69741,0.34139,1.83053,1.14801,1.83814,0.000709809,0.000709809,0.000709809
60,9014.1,1.47805,0.9328,1.3395,0.7174,0.68882,0.72663,0.35173,1.83967,1.09651,1.84952,0.000693305,0.000693305,0.000693305
61,9158.9,1.47552,0.93016,1.35209,0.69478,0.6858,0.71068,0.34213,1.85458,1.18876,1.86801,0.000676802,0.000676802,0.000676802
62,9286.92,1.47249,0.93472,1.34178,0.68847,0.70772,0.73168,0.35317,1.83706,1.14071,1.84355,0.000660299,0.000660299,0.000660299
63,9413.85,1.45083,0.93094,1.34082,0.74561,0.67825,0.73445,0.36962,1.79693,1.04061,1.7991,0.000643795,0.000643795,0.000643795
64,9544.9,1.45343,0.90295,1.34018,0.72298,0.6858,0.72592,0.35228,1.85835,1.08594,1.86661,0.000627292,0.000627292,0.000627292
65,9666.56,1.45303,0.91712,1.33692,0.73237,0.67372,0.7244,0.34586,1.88835,1.09588,1.87835,0.000610789,0.000610789,0.000610789
66,9802.34,1.466,0.93946,1.35856,0.70835,0.67976,0.71954,0.34568,1.84514,1.1515,1.84871,0.000594286,0.000594286,0.000594286
67,9930.45,1.46678,0.91929,1.34691,0.71772,0.67221,0.71616,0.36003,1.80526,1.13181,1.81105,0.000577782,0.000577782,0.000577782
68,10056.6,1.45603,0.90514,1.34695,0.72489,0.69184,0.72459,0.36171,1.80577,1.08669,1.82813,0.000561279,0.000561279,0.000561279
69,10192.5,1.44726,0.9153,1.33256,0.74795,0.67069,0.72674,0.35359,1.82191,1.15919,1.82827,0.000544776,0.000544776,0.000544776
70,10333,1.43578,0.92518,1.33123,0.73593,0.6994,0.73146,0.36003,1.8169,1.09714,1.84078,0.000528272,0.000528272,0.000528272
71,10458.1,1.43356,0.90367,1.32638,0.73374,0.69517,0.73107,0.37177,1.77357,1.05366,1.7661,0.000511769,0.000511769,0.000511769
72,10591,1.42169,0.89748,1.31442,0.7368,0.65545,0.72099,0.36627,1.82006,1.12043,1.8321,0.000495266,0.000495266,0.000495266
73,10722.3,1.40734,0.87629,1.31072,0.738,0.66918,0.73049,0.36983,1.81071,1.12699,1.81909,0.000478762,0.000478762,0.000478762
74,10857.1,1.42697,0.90171,1.32698,0.73606,0.68278,0.72228,0.35852,1.8076,1.07695,1.8284,0.000462259,0.000462259,0.000462259
75,10990.8,1.41685,0.88738,1.31212,0.75636,0.67523,0.73408,0.36569,1.81344,1.03536,1.83805,0.000445756,0.000445756,0.000445756
76,11122.4,1.3982,0.88179,1.3096,0.73904,0.68021,0.73413,0.37283,1.75565,1.11868,1.77821,0.000429253,0.000429253,0.000429253
77,11249.7,1.41034,0.8812,1.32071,0.76966,0.65616,0.73203,0.35364,1.84852,1.08742,1.89443,0.000412749,0.000412749,0.000412749
78,11386.7,1.4106,0.88099,1.3106,0.73995,0.68341,0.72579,0.35874,1.81193,1.09768,1.8389,0.000396246,0.000396246,0.000396246
79,11514.9,1.39668,0.87957,1.30902,0.71981,0.69637,0.72975,0.36466,1.80018,1.08694,1.83631,0.000379743,0.000379743,0.000379743
80,11635,1.39792,0.88392,1.30494,0.72207,0.68731,0.7301,0.36087,1.80561,1.07813,1.84407,0.000363239,0.000363239,0.000363239
81,11748.8,1.36507,0.86497,1.29419,0.73851,0.66163,0.72737,0.36084,1.82014,1.09272,1.84541,0.000346736,0.000346736,0.000346736
82,11892.3,1.37896,0.87879,1.31211,0.73229,0.65257,0.71827,0.34619,1.85929,1.14181,1.89225,0.000330233,0.000330233,0.000330233
83,12023.8,1.38067,0.85592,1.2931,0.6992,0.7145,0.7215,0.3493,1.85141,1.10358,1.87147,0.000313729,0.000313729,0.000313729
84,12145.2,1.38296,0.84953,1.30541,0.73665,0.66763,0.72859,0.35857,1.82436,1.12596,1.84383,0.000297226,0.000297226,0.000297226
85,12285,1.36896,0.84182,1.30535,0.71324,0.67221,0.71879,0.3499,1.85204,1.13245,1.87267,0.000280723,0.000280723,0.000280723
86,12413,1.35763,0.84244,1.28083,0.72967,0.67221,0.7278,0.36231,1.80975,1.10011,1.83241,0.00026422,0.00026422,0.00026422
87,12530.7,1.3613,0.84109,1.28734,0.68525,0.69033,0.71839,0.35545,1.82951,1.12645,1.8573,0.000247716,0.000247716,0.000247716
88,12657.9,1.35789,0.83981,1.28954,0.71951,0.69637,0.73304,0.36472,1.82188,1.08487,1.83717,0.000231213,0.000231213,0.000231213
89,12785.6,1.36151,0.84101,1.29166,0.71849,0.68127,0.72393,0.36627,1.80437,1.10145,1.82793,0.00021471,0.00021471,0.00021471
90,12918.9,1.3599,0.84008,1.29189,0.71615,0.68221,0.72052,0.3609,1.83691,1.08333,1.86299,0.000198206,0.000198206,0.000198206
91,13155.3,1.34035,0.78999,1.32543,0.67683,0.7145,0.71965,0.36227,1.82744,1.09186,1.86358,0.000181703,0.000181703,0.000181703
92,13360.5,1.33285,0.78633,1.32511,0.74903,0.68979,0.73874,0.38184,1.77578,1.03559,1.81087,0.0001652,0.0001652,0.0001652
93,13531.9,1.31494,0.77066,1.31083,0.75016,0.64955,0.72212,0.36044,1.82729,1.09515,1.87347,0.000148696,0.000148696,0.000148696
94,13707.4,1.31388,0.77669,1.31154,0.74329,0.65257,0.71522,0.35582,1.83847,1.13113,1.88412,0.000132193,0.000132193,0.000132193
95,13893.2,1.3133,0.75728,1.30599,0.69581,0.70489,0.72265,0.36175,1.82269,1.10077,1.86508,0.00011569,0.00011569,0.00011569
96,14068.3,1.29591,0.74204,1.30769,0.69909,0.70997,0.72204,0.36601,1.79587,1.0864,1.84257,9.91865e-05,9.91865e-05,9.91865e-05
97,14213.3,1.29831,0.76305,1.30676,0.72409,0.66465,0.71239,0.35321,1.83777,1.13932,1.89314,8.26832e-05,8.26832e-05,8.26832e-05
98,14376,1.2913,0.75484,1.30091,0.72068,0.6858,0.72281,0.36196,1.81265,1.09291,1.86126,6.61799e-05,6.61799e-05,6.61799e-05
99,14542.8,1.28318,0.75351,1.30673,0.72693,0.68429,0.71817,0.35758,1.82737,1.11397,1.87543,4.96766e-05,4.96766e-05,4.96766e-05
100,14748.5,1.29675,0.76017,1.29615,0.71273,0.68278,0.715,0.3546,1.83823,1.1179,1.88616,3.31733e-05,3.31733e-05,3.31733e-05
